Gene_name	Cilia_comments	Cilium_comments	Centrosome_comments	Flagella_comments	Flagellum_comments	Cilia	Cilium	Centrosome	Flagella	Flagellum
SRPX	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
GLRA2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
XIAP	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
STAG2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ATP11C	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MCF2	Ciliated cells - Cilium assembly	Ciliated cells - Cilium assembly	NA	NA	NA	YES	YES	NO	NO	NO
F9	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ABCD1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CCDC22	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CACNA1F	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SYP	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PLP2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
BMX	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
LUZP4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PLS3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
NAA10	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
RENBP	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ELF4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SMARCA1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MTMR8	Ciliated cells - Cilium organization	Ciliated cells - Cilium organization	NA	NA	NA	YES	YES	NO	NO	NO
ASB9	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ZC3H12B	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
RBBP7	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PPP1R2C	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
KCND1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
OPN1LW	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SLC25A14	Respiratory ciliated cells,Ciliated cells - Cilium organization	Ciliated cells - Cilium organization	NA	NA	NA	YES	YES	NO	NO	NO
FMR1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PIM2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SCML2	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
SLC35A2	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
PQBP1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
RS1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PCSK1N	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
EMD	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TAZ	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
RAB40AL	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PGK1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
GATA1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MAGT1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SMS	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PHEX	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
UBL4A	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CD99L2	Cytoplasmic expression in most tissues, distinct membranous expression in ciliated cells.,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
EEA1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
GPR50	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
RP2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
JADE3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CDK16	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
USP11	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
PCYT1B	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
BRS3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
HTATSF1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
VGLL1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CD40LG	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TIMP1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
KLHL4	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Respiratory epithelia and fallopian tube showed strong staining in cilia and/or cytoplasma. The intestine, renal tubules, squamous epithelia, placenta, testis and adrenal gland displayed moderate cytoplasmic staining. Remaining normal cells were weakly stained or negative.,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
GABRE	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PCDH11X	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
FGD1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PIN4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PORCN	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ITIH6	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MAGED2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
RBM3	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
KLF8	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SRPX2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SYTL4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ZDHHC15	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CENPI	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
DRP2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TAF7L	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PBDC1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
GLA	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
ARMCX3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
BEX4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
RUBCNL	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
NALCN	Moderate cytoplasmic positivity was observed in several tissues including the intestinal tract, seminiferous ducts, and squamous and respiratory epithelia. Neuropil and cilia in the respiratory epithelia and fallopian tubes were distinctly stained. Remaining normal tissues were in general weakly stained or negative.	NA	NA	NA	NA	YES	NO	NO	NO	NO
FGF14	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
HTR2A	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
NDFIP2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TNFSF13B	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
FNDC3A	NA	NA	Mainly localized to the nucleoplasm, the Golgi apparatus & centrosome. In addition localized to the cytosol.,centrosome,centrosome	NA	NA	NO	NO	YES	NO	NO
MLNR	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CDADC1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CAB39L	Ciliated cells - Cilium organization	Ciliated cells - Cilium organization	NA	NA	NA	YES	YES	NO	NO	NO
KLF5	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
STK24	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ACP5	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
DNAJC3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
UGGT2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ARHGEF7	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
FGF9	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SGCG	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PARP4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SUPT20H	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MRPS31	Respiratory ciliated cells,Ciliated cells - Cilium organization	Ciliated cells - Cilium organization	NA	NA	NA	YES	YES	NO	NO	NO
SLC25A15	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
KPNA3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
FLT1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
RGCC	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
VWA8	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
DGKH	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
KATNAL1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
INTS6	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ACOD1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
DHRS12	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MEDAG	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TSC22D1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CLN5	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
OLFM4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MSLN	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells - Cilium organization,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	Ciliated cells - Cilium organization	NA	NA	NA	YES	YES	NO	NO	NO
MGRN1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ZNF629	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TRADD	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
HSF4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CORO1A	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MAPK3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
GDPD3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ELMO3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MT4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PHKB	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
LYRM1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
NUTF2	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
NUP93	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CENPT	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TSNAXIP1	Ciliated cells - Cilium assembly,Endometrial ciliated cells,Respiratory ciliated cells	Ciliated cells - Cilium assembly	NA	NA	NA	YES	YES	NO	NO	NO
NFAT5	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
LONP2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
N4BP1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CBLN1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ARL2BP	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PLLP	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Strong membranous staining was observed in stomach, renal tubules, gall bladder and endometrial glands. Ciliated cells, breast, ductal cells in salivary gland, pancreas and liver displayed moderate membranous positivity. The cytoplasm in a subset of glial cells and peripheral nerves showed strong staining. Neuropil displayed a strong positivity. Remaining normal cells were negative.,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
ZNF423	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CCL22	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
DHODH	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CCL17	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CTCF	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ACD	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
POLR2C	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PARD6A	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ZNF821	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
MMP15	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
USB1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CYB5B	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CCDC113	Ciliated cells - Cilium assembly,Endometrial ciliated cells,Respiratory ciliated cells,Ciliated cells - Cilium organization	Ciliated cells - Cilium assembly,Ciliated cells - Cilium organization	NA	NA	NA	YES	YES	NO	NO	NO
PRSS54	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
NME3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
NDRG4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PSMD7	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells	NA	NA	NA	NA	YES	NO	NO	NO	NO
SETD6	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SLC38A7	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
VAC14	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
HAS3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TANGO6	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
COG4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SMPD3	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
SLC7A6OS	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SLC7A6	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PLA2G15	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ESRP2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
FA2H	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
WDR59	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MON1B	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CMC2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
AXIN1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
HCFC1R1	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
NPRL3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MLYCD	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MPG	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
NECAB2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
HSDL1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TAF1C	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
NAGPA	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Most normal tissues displayed moderate cytoplasmic positivity. Renal tubules and epithelial cells showed strong positivity. Cilia in respiratory epithelia and fallopian tube showed distinct positivity. Cells in CNS, bile duct cells, renal glomeruli, trophoblastic cells and prostate were weakly stained or negative.,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
WFDC1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SEC14L5	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
COTL1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
USP10	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CRISPLD2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TSC2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
